左槽,防具三件套效果,五件套效果,首饰三件套效果,上衣,下装,护肩,腰带,鞋子,手镯,项链,戒指,武器,武器类型,最终力智,最终力智系数,最终双攻系数,最终面板,最终白字,最终黄字,最终属强,最终技工,装备技工,最终暴击率,最终爆伤,最终暴击期望,最终强度,damage
圣灵之咒,灼伤套二件套效果,灼伤套五件套效果,属强三件套,灼伤套上衣,灼伤套下装,灼伤套护肩,灼伤套腰带,灼伤套鞋子,属强手镯,属强项链,属强戒指,僵尸猎手,步枪,3591,1,1.27,64624.67136,2.759318182,1.53,355,1.595088,1.355088,0.664644195,1.7,1.465250936,1666607.686,5468772461
圣灵之咒,堕落圣职者二件套效果,堕落圣职者五件套效果,时空三件套,堕落圣职者上衣,堕落圣职者下装,堕落圣职者护肩,堕落圣职者腰带,堕落圣职者鞋子,时空手镯,时空项链,时空戒指,铁甲炮,手炮,3806.46,1.06,1.05,56426.98118,2.168522727,2.18,281,1.6744848,1.4344848,0.7682397,1.7,1.53776779,1564207.28,5468289705
羽毛,灼伤套二件套效果,灼伤套五件套效果,火强三件套,灼伤套上衣,灼伤套下装,灼伤套护肩,灼伤套腰带,灼伤套鞋子,火强手镯,火强项链,火强戒指,宝瓶守护者,手炮,3591,1,1.27,64624.67136,2.639636364,1.49,356,1.595088,1.355088,0.644644195,1.84,1.541501124,1636277.711,5466980223
羽毛,坚强套二件套效果,坚强套五件套效果,时空三件套,坚强套上衣,坚强套下装,坚强套护肩,坚强套腰带,坚强套鞋子,时空手镯,时空项链,时空戒指,僵尸猎手,步枪,4165.56,1.16,1.22,71366.75343,2.310909091,1.7,280,1.65561,1.41561,0.713333333,1.8,1.570666667,1656979.42,5466703852
尼威尔徽章,灼伤套二件套效果,灼伤套五件套效果,火强三件套,灼伤套上衣,灼伤套下装,灼伤套护肩,灼伤套腰带,灼伤套鞋子,火强手镯,火强项链,火强戒指,僵尸猎手,步枪,3591,1,1.27,64624.67136,2.328181818,1.62,358,1.605088,1.355088,0.674644195,1.853,1.575471498,1619365.236,5466560859
羽毛,深海熔岩套二件套效果,深海熔岩套五件套效果,刺杀三件套,深海熔岩套上衣,深海熔岩套下装,深海熔岩套护肩,深海熔岩套腰带,深海熔岩套鞋子,刺杀手镯,刺杀项链,刺杀戒指,铁甲炮,手炮,3986.01,1.11,1.45,81372.0577,1.465,2,275,1.86426,1.62426,0.693333333,1.8,1.554666667,1554780.93,5463040595
手套,灼伤套二件套效果,灼伤套五件套效果,时空三件套,灼伤套上衣,灼伤套下装,灼伤套护肩,灼伤套腰带,灼伤套鞋子,时空手镯,时空项链,时空戒指,僵尸猎手,步枪,3806.46,1.06,1.27,68249.77724,2.155227273,1.63,345,1.6115688,1.3715688,0.713333333,1.95,1.677666667,1664800.548,5462842557
羽毛,MP套二件套效果,MP套五件套效果,刺杀三件套,MP套上衣,MP套下装,MP套护肩,MP套腰带,MP套鞋子,刺杀手镯,刺杀项链,刺杀戒指,宝瓶守护者,手炮,4057.83,1.13,1.15,65630.65162,1.837681818,1.85,267,1.9956,1.7556,0.693333333,1.95,1.658666667,1634886.681,5462332641
手套,灼伤套二件套效果,灼伤套五件套效果,刺杀三件套,灼伤套上衣,灼伤套下装,灼伤套护肩,灼伤套腰带,灼伤套鞋子,刺杀手镯,刺杀项链,刺杀戒指,铁甲炮,手炮,3698.73,1.03,1.27,66437.2243,1.54,2,305,1.851456,1.611456,0.693333333,2.05,1.728,1562269.493,5461515425
时间怀表,堕落圣职者二件套效果,堕落圣职者五件套效果,火强三件套,堕落圣职者上衣,堕落圣职者下装,堕落圣职者护肩,堕落圣职者腰带,堕落圣职者鞋子,火强手镯,火强项链,火强戒指,铁甲炮,手炮,3591,1,1.05,53429.8464,2.099318182,2.24,294,1.657248,1.417248,0.719550562,1.84,1.604422472,1560834.619,5456499269
时间怀表,灼伤套二件套效果,灼伤套五件套效果,属强三件套,灼伤套上衣,灼伤套下装,灼伤套护肩,灼伤套腰带,灼伤套鞋子,属强手镯,属强项链,属强戒指,九龙步枪,步枪,3591,1,1.27,64624.67136,2.816363636,1.47,365,1.595088,1.355088,0.664644195,1.7,1.465250936,1662777.929,5456205575
时间怀表,灼伤套二件套效果,灼伤套五件套效果,属强三件套,灼伤套上衣,灼伤套下装,灼伤套护肩,灼伤套腰带,灼伤套鞋子,属强手镯,属强项链,属强戒指,宝瓶守护者,手炮,3591,1,1.27,64624.67136,2.868318182,1.47,353,1.595088,1.355088,0.644644195,1.7,1.451250936,1642865.88,5456187261
时间怀表,堕落圣职者二件套效果,堕落圣职者五件套效果,火强三件套,堕落圣职者上衣,堕落圣职者下装,堕落圣职者护肩,堕落圣职者腰带,堕落圣职者鞋子,火强手镯,火强项链,火强戒指,九龙步枪,步枪,3591,1,1.05,53429.8464,2.721681818,1.74,318,1.657248,1.417248,0.739550562,1.84,1.621222472,1662494.585,5455275815
圣灵之咒,堕落圣职者二件套效果,堕落圣职者五件套效果,火强三件套,堕落圣职者上衣,堕落圣职者下装,堕落圣职者护肩,堕落圣职者腰带,堕落圣职者鞋子,火强手镯,火强项链,火强戒指,僵尸猎手,步枪,3591,1,1.05,53429.8464,2.68,1.8,308,1.657248,1.417248,0.739550562,1.84,1.621222472,1662005.991,5453672555
时间怀表,MP套二件套效果,MP套五件套效果,刺杀三件套,MP套上衣,MP套下装,MP套护肩,MP套腰带,MP套鞋子,刺杀手镯,刺杀项链,刺杀戒指,卸甲炮,手炮,4057.83,1.13,1.55,88458.70435,1.24,2.12,255,1.9956,1.7556,0.693333333,1.95,1.658666667,1661887.653,5453284241
羽毛,变色龙套二件套效果,变色龙套五件套效果,刺杀三件套,变色龙套上衣,变色龙套下装,变色龙套护肩,变色龙套腰带,变色龙套鞋子,刺杀手镯,刺杀项链,刺杀戒指,九龙步枪,步枪,4776.03,1.33,1.15,76572.57226,2.009818182,1.75,229,1.8108,1.5708,0.825692884,1.8,1.660554307,1652780.899,5452852099
羽毛,灼伤套二件套效果,灼伤套五件套效果,火强三件套,灼伤套上衣,灼伤套下装,灼伤套护肩,灼伤套腰带,灼伤套鞋子,火强手镯,火强项链,火强戒指,九龙步枪,步枪,3591,1,1.27,64624.67136,2.582363636,1.49,368,1.595088,1.355088,0.664644195,1.84,1.558301124,1651933.994,5450057991
时间怀表,灼伤套二件套效果,灼伤套五件套效果,火强三件套,灼伤套上衣,灼伤套下装,灼伤套护肩,灼伤套腰带,灼伤套鞋子,火强手镯,火强项链,火强戒指,僵尸猎手,步枪,3591,1,1.27,64624.67136,2.328181818,1.69,358,1.595088,1.355088,0.664644195,1.84,1.558301124,1660516.268,5448784207
时间怀表,堕落圣职者二件套效果,堕落圣职者五件套效果,时空三件套,堕落圣职者上衣,堕落圣职者下装,堕落圣职者护肩,堕落圣职者腰带,堕落圣职者鞋子,时空手镯,时空项链,时空戒指,战斗步枪,步枪,4883.76,1.36,1.05,71412.6551,1.968522727,1.93,281,1.6744848,1.4344848,0.863146067,1.7,1.604202247,1659695.046,5446089465
羽毛,变色龙套二件套效果,变色龙套五件套效果,刺杀三件套,变色龙套上衣,变色龙套下装,变色龙套护肩,变色龙套腰带,变色龙套鞋子,刺杀手镯,刺杀项链,刺杀戒指,宝瓶守护者,手炮,4776.03,1.33,1.15,76572.57226,2.056318182,1.75,217,1.8108,1.5708,0.805692884,1.8,1.644554307,1629967.939,5445898595
名将兵书,堕落圣职者二件套效果,堕落圣职者五件套效果,时空三件套,堕落圣职者上衣,堕落圣职者下装,堕落圣职者护肩,堕落圣职者腰带,堕落圣职者鞋子,时空手镯,时空项链,时空戒指,僵尸猎手,步枪,3806.46,1.06,1.05,56426.98118,2.330795455,1.83,295,1.6744848,1.4344848,0.8182397,1.739,1.604679139,1513895.971,5445489483
尼威尔徽章,堕落圣职者二件套效果,堕落圣职者五件套效果,火强三件套,堕落圣职者上衣,堕落圣职者下装,堕落圣职者护肩,堕落圣职者腰带,堕落圣职者鞋子,火强手镯,火强项链,火强戒指,宝瓶守护者,手炮,3591,1,1.05,53429.8464,2.762590909,1.67,306,1.667248,1.417248,0.729550562,1.853,1.622306629,1594091.281,5444623872
名将兵书,MP套二件套效果,MP套五件套效果,刺杀三件套,MP套上衣,MP套下装,MP套护肩,MP套腰带,MP套鞋子,刺杀手镯,刺杀项链,刺杀戒指,铁甲炮,手炮,4057.83,1.13,1.15,65630.65162,1.24,2.37,255,1.9956,1.7556,0.723333333,1.989,1.715376667,1425544.142,5441120090
时间怀表,变色龙套二件套效果,变色龙套五件套效果,时空三件套,变色龙套上衣,变色龙套下装,变色龙套护肩,变色龙套腰带,变色龙套鞋子,时空手镯,时空项链,时空戒指,僵尸猎手,步枪,4883.76,1.36,1.15,78213.86035,2.067045455,1.95,245,1.576965,1.336965,0.825692884,1.7,1.577985019,1658149.034,5441016413
尼威尔徽章,灼伤套二件套效果,灼伤套五件套效果,属强三件套,灼伤套上衣,灼伤套下装,灼伤套护肩,灼伤套腰带,灼伤套鞋子,属强手镯,属强项链,属强戒指,九龙步枪,步枪,3591,1,1.27,64624.67136,2.816363636,1.4,365,1.605088,1.355088,0.674644195,1.713,1.481021311,1610676.982,5437231549
尼威尔徽章,灼伤套二件套效果,灼伤套五件套效果,属强三件套,灼伤套上衣,灼伤套下装,灼伤套护肩,灼伤套腰带,灼伤套鞋子,属强手镯,属强项链,属强戒指,宝瓶守护者,手炮,3591,1,1.27,64624.67136,2.868318182,1.4,353,1.605088,1.355088,0.654644195,1.713,1.466761311,1591270.252,5434988639
羽毛,MP套二件套效果,MP套五件套效果,时空三件套,MP套上衣,MP套下装,MP套护肩,MP套腰带,MP套鞋子,时空手镯,时空项链,时空戒指,战斗步枪,步枪,5242.86,1.46,1.15,83684.82067,1.47,2.03,281,1.734255,1.494255,0.7882397,1.85,1.670003745,1647045.163,5433928766
尼威尔徽章,MP套二件套效果,MP套五件套效果,时空三件套,MP套上衣,MP套下装,MP套护肩,MP套腰带,MP套鞋子,时空手镯,时空项链,时空戒指,僵尸猎手,步枪,4165.56,1.16,1.15,67271.93971,1.821136364,1.98,295,1.744255,1.494255,0.723333333,1.863,1.624236667,1608738.45,5430687562
时间怀表,变色龙套二件套效果,变色龙套五件套效果,刺杀三件套,变色龙套上衣,变色龙套下装,变色龙套护肩,变色龙套腰带,变色龙套鞋子,刺杀手镯,刺杀项链,刺杀戒指,铁甲炮,手炮,4776.03,1.33,1.15,76572.57226,1.52,2.32,205,1.8108,1.5708,0.805692884,1.8,1.644554307,1553423.117,5430589505
羽毛,MP套二件套效果,MP套五件套效果,刺杀三件套,MP套上衣,MP套下装,MP套护肩,MP套腰带,MP套鞋子,刺杀手镯,刺杀项链,刺杀戒指,九龙步枪,步枪,4057.83,1.13,1.15,65630.65162,1.784363636,1.85,279,1.9956,1.7556,0.713333333,1.95,1.677666667,1645200.544,5427843003
手套,堕落圣职者二件套效果,堕落圣职者五件套效果,属强三件套,堕落圣职者上衣,堕落圣职者下装,堕落圣职者护肩,堕落圣职者腰带,堕落圣职者鞋子,属强手镯,属强项链,属强戒指,僵尸猎手,步枪,3591,1,1.05,53429.8464,2.688295455,1.71,305,1.657248,1.417248,0.739550562,1.95,1.702573034,1653814.938,5426794601
羽毛,坚强套二件套效果,坚强套五件套效果,刺杀三件套,坚强套上衣,坚强套下装,坚强套护肩,坚强套腰带,坚强套鞋子,刺杀手镯,刺杀项链,刺杀戒指,僵尸猎手,步枪,4057.83,1.13,1.22,69625.56084,2.063181818,1.7,254,1.9032,1.6632,0.713333333,1.9,1.642,1644251.976,5424713489
羽毛,堕落圣职者二件套效果,堕落圣职者五件套效果,刺杀三件套,堕落圣职者上衣,堕落圣职者下装,堕落圣职者护肩,堕落圣职者腰带,堕落圣职者鞋子,刺杀手镯,刺杀项链,刺杀戒指,卸甲炮,手炮,3698.73,1.03,1.45,75853.52381,1.717840909,1.88,255,1.925376,1.685376,0.7682397,1.8,1.61459176,1644242.107,5424680928
时间怀表,堕落圣职者二件套效果,堕落圣职者五件套效果,火强三件套,堕落圣职者上衣,堕落圣职者下装,堕落圣职者护肩,堕落圣职者腰带,堕落圣职者鞋子,火强手镯,火强项链,火强戒指,宝瓶守护者,手炮,3591,1,1.05,53429.8464,2.762590909,1.74,306,1.657248,1.417248,0.719550562,1.84,1.604422472,1632747.605,5422583054
羽毛,变色龙套二件套效果,变色龙套五件套效果,刺杀三件套,变色龙套上衣,变色龙套下装,变色龙套护肩,变色龙套腰带,变色龙套鞋子,刺杀手镯,刺杀项链,刺杀戒指,战斗步枪,步枪,5853.33,1.63,1.15,92985.45322,1.52,1.93,205,1.8108,1.5708,0.900599251,1.8,1.720479401,1641731.463,5416397817
尼威尔徽章,堕落圣职者二件套效果,堕落圣职者五件套效果,属强三件套,堕落圣职者上衣,堕落圣职者下装,堕落圣职者护肩,堕落圣职者腰带,堕落圣职者鞋子,属强手镯,属强项链,属强戒指,铁甲炮,手炮,3591,1,1.05,53429.8464,2.303931818,2.08,291,1.667248,1.417248,0.729550562,1.713,1.520169551,1507326.508,5411677489
尼威尔徽章,灼伤套二件套效果,灼伤套五件套效果,刺杀三件套,灼伤套上衣,灼伤套下装,灼伤套护肩,灼伤套腰带,灼伤套鞋子,刺杀手镯,刺杀项链,刺杀戒指,战斗步枪,步枪,4776.03,1.33,1.27,84562.75371,1.54,1.68,305,1.861456,1.611456,0.7982397,1.813,1.648968876,1602547.739,5409789312
羽毛,变色龙套二件套效果,变色龙套五件套效果,属强三件套,变色龙套上衣,变色龙套下装,变色龙套护肩,变色龙套腰带,变色龙套鞋子,属强手镯,属强项链,属强戒指,僵尸猎手,步枪,4668.3,1.3,1.15,74931.28416,2.362045455,1.78,255,1.5609,1.3209,0.777003745,1.7,1.543902622,1639220.372,5408113228
手套,堕落圣职者二件套效果,堕落圣职者五件套效果,刺杀三件套,堕落圣职者上衣,堕落圣职者下装,堕落圣职者护肩,堕落圣职者腰带,堕落圣职者鞋子,刺杀手镯,刺杀项链,刺杀戒指,铁甲炮,手炮,3698.73,1.03,1.05,54928.41379,1.717840909,2.18,255,1.925376,1.685376,0.7682397,2.05,1.806651685,1544889.444,5400756760
尼威尔徽章,变色龙套二件套效果,变色龙套五件套效果,刺杀三件套,变色龙套上衣,变色龙套下装,变色龙套护肩,变色龙套腰带,变色龙套鞋子,刺杀手镯,刺杀项链,刺杀戒指,僵尸猎手,步枪,4776.03,1.33,1.15,76572.57226,1.819318182,1.88,219,1.8208,1.5708,0.835692884,1.813,1.679418315,1598095.448,5394759522
尼威尔徽章,灼伤套二件套效果,灼伤套五件套效果,刺杀三件套,灼伤套上衣,灼伤套下装,灼伤套护肩,灼伤套腰带,灼伤套鞋子,刺杀手镯,刺杀项链,刺杀戒指,卸甲炮,手炮,3698.73,1.03,1.67,87362.33432,1.54,1.7,305,1.861456,1.611456,0.703333333,1.813,1.57181,1596920.578,5390793462
羽毛,深海熔岩套二件套效果,深海熔岩套五件套效果,刺杀三件套,深海熔岩套上衣,深海熔岩套下装,深海熔岩套护肩,深海熔岩套腰带,深海熔岩套鞋子,刺杀手镯,刺杀项链,刺杀戒指,僵尸猎手,步枪,3986.01,1.11,1.45,81372.0577,1.818409091,1.63,289,1.86426,1.62426,0.713333333,1.8,1.570666667,1633955.056,5390741907
圣灵之咒,堕落圣职者二件套效果,堕落圣职者五件套效果,刺杀三件套,堕落圣职者上衣,堕落圣职者下装,堕落圣职者护肩,堕落圣职者腰带,堕落圣职者鞋子,刺杀手镯,刺杀项链,刺杀戒指,铁甲炮,手炮,3698.73,1.03,1.05,54928.41379,1.917840909,2.18,255,1.925376,1.685376,0.7682397,1.8,1.61459176,1541399.963,5388557935
尼威尔徽章,堕落圣职者二件套效果,堕落圣职者五件套效果,刺杀三件套,堕落圣职者上衣,堕落圣职者下装,堕落圣职者护肩,堕落圣职者腰带,堕落圣职者鞋子,刺杀手镯,刺杀项链,刺杀戒指,战斗步枪,步枪,4776.03,1.33,1.05,69914.08771,1.717840909,1.86,255,1.935376,1.685376,0.873146067,1.813,1.709867753,1596097.37,5388014525
时间怀表,灼伤套二件套效果,灼伤套五件套效果,刺杀三件套,灼伤套上衣,灼伤套下装,灼伤套护肩,灼伤套腰带,灼伤套鞋子,刺杀手镯,刺杀项链,刺杀戒指,战斗步枪,步枪,4776.03,1.33,1.27,84562.75371,1.54,1.75,305,1.851456,1.611456,0.7882397,1.8,1.63059176,1641848.755,5387529010
名将兵书,堕落圣职者二件套效果,堕落圣职者五件套效果,刺杀三件套,堕落圣职者上衣,堕落圣职者下装,堕落圣职者护肩,堕落圣职者腰带,堕落圣职者鞋子,刺杀手镯,刺杀项链,刺杀戒指,僵尸猎手,步枪,3698.73,1.03,1.05,54928.41379,2.062386364,1.83,269,1.925376,1.685376,0.8182397,1.839,1.686503109,1496259.96,5382052687
手套,灼伤套二件套效果,灼伤套五件套效果,刺杀三件套,灼伤套上衣,灼伤套下装,灼伤套护肩,灼伤套腰带,灼伤套鞋子,刺杀手镯,刺杀项链,刺杀戒指,僵尸猎手,步枪,3698.73,1.03,1.27,66437.2243,1.9075,1.63,319,1.851456,1.611456,0.713333333,2.05,1.749,1638826.281,5377611128
时间怀表,MP套二件套效果,MP套五件套效果,时空三件套,MP套上衣,MP套下装,MP套护肩,MP套腰带,MP套鞋子,时空手镯,时空项链,时空戒指,僵尸猎手,步枪,4165.56,1.16,1.15,67271.93971,1.821136364,2.05,295,1.734255,1.494255,0.713333333,1.85,1.606333333,1637809.752,5374275508
时间怀表,灼伤套二件套效果,灼伤套五件套效果,刺杀三件套,灼伤套上衣,灼伤套下装,灼伤套护肩,灼伤套腰带,灼伤套鞋子,刺杀手镯,刺杀项链,刺杀戒指,卸甲炮,手炮,3698.73,1.03,1.67,87362.33432,1.54,1.77,305,1.851456,1.611456,0.693333333,1.8,1.554666667,1635707.037,5367375703
时间怀表,灼伤套二件套效果,灼伤套五件套效果,时空三件套,灼伤套上衣,灼伤套下装,灼伤套护肩,灼伤套腰带,灼伤套鞋子,时空手镯,时空项链,时空戒指,宝瓶守护者,手炮,3806.46,1.06,1.27,68249.77724,2.460954545,1.57,343,1.6115688,1.3715688,0.693333333,1.7,1.485333333,1615336.384,5364757954
尼威尔徽章,灼伤套二件套效果,灼伤套五件套效果,时空三件套,灼伤套上衣,灼伤套下装,灼伤套护肩,灼伤套腰带,灼伤套鞋子,时空手镯,时空项链,时空戒指,宝瓶守护者,手炮,3806.46,1.06,1.27,68249.77724,2.460954545,1.5,343,1.6215688,1.3715688,0.703333333,1.713,1.501476667,1569769.081,5361551320
时间怀表,堕落圣职者二件套效果,堕落圣职者五件套效果,属强三件套,堕落圣职者上衣,堕落圣职者下装,堕落圣职者护肩,堕落圣职者腰带,堕落圣职者鞋子,属强手镯,属强项链,属强戒指,铁甲炮,手炮,3591,1,1.05,53429.8464,2.303931818,2.15,291,1.657248,1.417248,0.719550562,1.7,1.503685393,1531915.153,5355400124
手套,堕落圣职者二件套效果,堕落圣职者五件套效果,时空三件套,堕落圣职者上衣,堕落圣职者下装,堕落圣职者护肩,堕落圣职者腰带,堕落圣职者鞋子,时空手镯,时空项链,时空戒指,僵尸猎手,步枪,3806.46,1.06,1.05,56426.98118,2.330795455,1.81,295,1.6744848,1.4344848,0.7882397,1.95,1.748827715,1631857.902,5354745230
时间怀表,灼伤套二件套效果,灼伤套五件套效果,刺杀三件套,灼伤套上衣,灼伤套下装,灼伤套护肩,灼伤套腰带,灼伤套鞋子,刺杀手镯,刺杀项链,刺杀戒指,宝瓶守护者,手炮,3698.73,1.03,1.27,66437.2243,2.199045455,1.57,317,1.851456,1.611456,0.693333333,1.8,1.554666667,1611564.254,5352230185
圣灵之咒,堕落圣职者二件套效果,堕落圣职者五件套效果,刺杀三件套,堕落圣职者上衣,堕落圣职者下装,堕落圣职者护肩,堕落圣职者腰带,堕落圣职者鞋子,刺杀手镯,刺杀项链,刺杀戒指,九龙步枪,步枪,3698.73,1.03,1.05,54928.41379,2.481295455,1.68,279,1.925376,1.685376,0.7882397,1.8,1.63059176,1630510.056,5350322436
时间怀表,变色龙套二件套效果,变色龙套五件套效果,刺杀三件套,变色龙套上衣,变色龙套下装,变色龙套护肩,变色龙套腰带,变色龙套鞋子,刺杀手镯,刺杀项链,刺杀戒指,僵尸猎手,步枪,4776.03,1.33,1.15,76572.57226,1.819318182,1.95,219,1.8108,1.5708,0.825692884,1.8,1.660554307,1629978.651,5348578693
尼威尔徽章,灼伤套二件套效果,灼伤套五件套效果,刺杀三件套,灼伤套上衣,灼伤套下装,灼伤套护肩,灼伤套腰带,灼伤套鞋子,刺杀手镯,刺杀项链,刺杀戒指,宝瓶守护者,手炮,3698.73,1.03,1.27,66437.2243,2.199045455,1.5,317,1.861456,1.611456,0.703333333,1.813,1.57181,1565097.409,5345595209
时间怀表,堕落圣职者二件套效果,堕落圣职者五件套效果,刺杀三件套,堕落圣职者上衣,堕落圣职者下装,堕落圣职者护肩,堕落圣职者腰带,堕落圣职者鞋子,刺杀手镯,刺杀项链,刺杀戒指,战斗步枪,步枪,4776.03,1.33,1.05,69914.08771,1.717840909,1.93,255,1.925376,1.685376,0.863146067,1.8,1.690516854,1628961.923,5345242422
羽毛,灼伤套二件套效果,灼伤套五件套效果,时空三件套,灼伤套上衣,灼伤套下装,灼伤套护肩,灼伤套腰带,灼伤套鞋子,时空手镯,时空项链,时空戒指,卸甲炮,手炮,3806.46,1.06,1.67,89745.77007,1.77,1.7,331,1.6115688,1.3715688,0.693333333,1.7,1.485333333,1618966.538,5341291811
尼威尔徽章,MP套二件套效果,MP套五件套效果,刺杀三件套,MP套上衣,MP套下装,MP套护肩,MP套腰带,MP套鞋子,刺杀手镯,刺杀项链,刺杀戒指,战斗步枪,步枪,5135.13,1.43,1.15,82043.53258,1.24,2.03,255,2.0056,1.7556,0.7982397,1.963,1.768704831,1581731.22,5339518092
圣灵之咒,灼伤套二件套效果,灼伤套五件套效果,刺杀三件套,灼伤套上衣,灼伤套下装,灼伤套护肩,灼伤套腰带,灼伤套鞋子,刺杀手镯,刺杀项链,刺杀戒指,僵尸猎手,步枪,3698.73,1.03,1.27,66437.2243,2.1075,1.63,319,1.851456,1.611456,0.713333333,1.8,1.570666667,1626036.066,5335641577
圣灵之咒,灼伤套二件套效果,灼伤套五件套效果,时空三件套,灼伤套上衣,灼伤套下装,灼伤套护肩,灼伤套腰带,灼伤套鞋子,时空手镯,时空项链,时空戒指,僵尸猎手,步枪,3806.46,1.06,1.27,68249.77724,2.355227273,1.63,345,1.6115688,1.3715688,0.713333333,1.7,1.499333333,1625902.424,5335203046
尼威尔徽章,MP套二件套效果,MP套五件套效果,时空三件套,MP套上衣,MP套下装,MP套护肩,MP套腰带,MP套鞋子,时空手镯,时空项链,时空戒指,铁甲炮,手炮,4165.56,1.16,1.15,67271.93971,1.47,2.35,281,1.744255,1.494255,0.703333333,1.863,1.606976667,1483384.51,5325719755
圣灵之咒,堕落圣职者二件套效果,堕落圣职者五件套效果,刺杀三件套,堕落圣职者上衣,堕落圣职者下装,堕落圣职者护肩,堕落圣职者腰带,堕落圣职者鞋子,刺杀手镯,刺杀项链,刺杀戒指,宝瓶守护者,手炮,3698.73,1.03,1.05,54928.41379,2.525068182,1.68,267,1.925376,1.685376,0.7682397,1.8,1.61459176,1603481.727,5325386982
圣灵之咒,堕落圣职者二件套效果,堕落圣职者五件套效果,时空三件套,堕落圣职者上衣,堕落圣职者下装,堕落圣职者护肩,堕落圣职者腰带,堕落圣职者鞋子,时空手镯,时空项链,时空戒指,九龙步枪,步枪,3806.46,1.06,1.05,56426.98118,2.760340909,1.68,305,1.6744848,1.4344848,0.7882397,1.7,1.55176779,1622569.788,5324267401
时间怀表,灼伤套二件套效果,灼伤套五件套效果,时空三件套,灼伤套上衣,灼伤套下装,灼伤套护肩,灼伤套腰带,灼伤套鞋子,时空手镯,时空项链,时空戒指,九龙步枪,步枪,3806.46,1.06,1.27,68249.77724,2.397272727,1.57,355,1.6115688,1.3715688,0.713333333,1.7,1.499333333,1622222.969,5323129358
尼威尔徽章,灼伤套二件套效果,灼伤套五件套效果,时空三件套,灼伤套上衣,灼伤套下装,灼伤套护肩,灼伤套腰带,灼伤套鞋子,时空手镯,时空项链,时空戒指,九龙步枪,步枪,3806.46,1.06,1.27,68249.77724,2.397272727,1.5,355,1.6215688,1.3715688,0.723333333,1.713,1.515736667,1576573.571,5322107198
羽毛,堕落圣职者二件套效果,堕落圣职者五件套效果,火强三件套,堕落圣职者上衣,堕落圣职者下装,堕落圣职者护肩,堕落圣职者腰带,堕落圣职者鞋子,火强手镯,火强项链,火强戒指,铁甲炮,手炮,3591,1,1.05,53429.8464,2.099318182,2.17,294,1.657248,1.417248,0.719550562,1.84,1.604422472,1512058.537,5312926735
时间怀表,灼伤套二件套效果,灼伤套五件套效果,刺杀三件套,灼伤套上衣,灼伤套下装,灼伤套护肩,灼伤套腰带,灼伤套鞋子,刺杀手镯,刺杀项链,刺杀戒指,九龙步枪,步枪,3698.73,1.03,1.27,66437.2243,2.138909091,1.57,329,1.851456,1.611456,0.713333333,1.8,1.570666667,1619013.778,5312598782
尼威尔徽章,灼伤套二件套效果,灼伤套五件套效果,刺杀三件套,灼伤套上衣,灼伤套下装,灼伤套护肩,灼伤套腰带,灼伤套鞋子,刺杀手镯,刺杀项链,刺杀戒指,九龙步枪,步枪,3698.73,1.03,1.27,66437.2243,2.138909091,1.5,329,1.861456,1.611456,0.723333333,1.813,1.58807,1572414.882,5308068529
圣灵之咒,堕落圣职者二件套效果,堕落圣职者五件套效果,属强三件套,堕落圣职者上衣,堕落圣职者下装,堕落圣职者护肩,堕落圣职者腰带,堕落圣职者鞋子,属强手镯,属强项链,属强戒指,九龙步枪,步枪,3591,1,1.05,53429.8464,3.132840909,1.58,315,1.657248,1.417248,0.739550562,1.7,1.517685393,1617631.938,5308064443
圣灵之咒,堕落圣职者二件套效果,堕落圣职者五件套效果,时空三件套,堕落圣职者上衣,堕落圣职者下装,堕落圣职者护肩,堕落圣职者腰带,堕落圣职者鞋子,时空手镯,时空项链,时空戒指,宝瓶守护者,手炮,3806.46,1.06,1.05,56426.98118,2.807659091,1.68,293,1.6744848,1.4344848,0.7682397,1.7,1.53776779,1598111.682,5307552312
尼威尔徽章,灼伤套二件套效果,灼伤套五件套效果,属强三件套,灼伤套上衣,灼伤套下装,灼伤套护肩,灼伤套腰带,灼伤套鞋子,属强手镯,属强项链,属强戒指,僵尸猎手,步枪,3591,1,1.27,64624.67136,2.559318182,1.53,355,1.605088,1.355088,0.674644195,1.713,1.481021311,1572241.95,5307484758
羽毛,灼伤套二件套效果,灼伤套五件套效果,时空三件套,灼伤套上衣,灼伤套下装,灼伤套护肩,灼伤套腰带,灼伤套鞋子,时空手镯,时空项链,时空戒指,战斗步枪,步枪,4883.76,1.36,1.27,86375.30665,1.77,1.68,331,1.6115688,1.3715688,0.7882397,1.7,1.55176779,1608705.891,5307439902
时间怀表,灼伤套二件套效果,灼伤套五件套效果,属强三件套,灼伤套上衣,灼伤套下装,灼伤套护肩,灼伤套腰带,灼伤套鞋子,属强手镯,属强项链,属强戒指,僵尸猎手,步枪,3591,1,1.27,64624.67136,2.559318182,1.6,355,1.595088,1.355088,0.664644195,1.7,1.465250936,1616532.467,5304456659
羽毛,MP套二件套效果,MP套五件套效果,刺杀三件套,MP套上衣,MP套下装,MP套护肩,MP套腰带,MP套鞋子,刺杀手镯,刺杀项链,刺杀戒指,卸甲炮,手炮,4057.83,1.13,1.55,88458.70435,1.24,2.05,255,1.9956,1.7556,0.693333333,1.95,1.658666667,1607014.004,5301858030
